,question,questiontype,keyword
10105,"(which,PRON) (governer,NOUN) (of,ADP) (winston,PROPN,B-PER)  (bryant,PROPN,E-PER)  (is,VERB) (the,DET) (president,NOUN) (of,ADP) (joseph,PROPN,B-PER)  (stiglitz,PROPN,E-PER)  (?,.)",Which,"governer, Winston Bryant, president, Joseph Stiglitz"
10106,"(what,PRON) (subsequent,ADJ) (work,NOUN) (of,ADP) (moondog,PROPN,B-ORG)  (matinee,PROPN,E-ORG)  (has,VERB) (the,DET) (composer,NOUN) (of,ADP) (motorpsycho,PROPN,B-MISC)  (nitemare,PROPN,E-MISC)  (?,.)",What,"subsequent,work,Moondog Matinee,composer,Motorpsycho Nitemare"
10107,"(what,PRON) (subsequent,ADJ) (work,NOUN) (of,ADP) (moondog,PROPN,B-ORG)  (matinee,PROPN,E-ORG)  (has,VERB) (the,DET) (composer,NOUN) (of,ADP) (motorpsycho,PROPN,B-MISC)  (nitemare,PROPN,E-MISC)  (?,.)",What,"subsequent ,work ,Moondog ,Matinee ,composer ,Motorpsycho ,Nitemare"
10108,"(how,ADV) (many,ADJ) (people,NOUN) (have,VERB) (led,VERB) (agencies,NOUN) (in,ADP) (german,PROPN,S-MISC)  (occupied,VERB) (europe,PROPN,S-LOC)  (?,.)",How many,"people , led, agencies , German , occupied , Europe"
10109,"(how,ADV) (many,ADJ) (people,NOUN) (have,VERB) (led,VERB) (agencies,NOUN) (in,ADP) (german,PROPN,S-MISC)  (occupied,VERB) (europe,PROPN,S-LOC)  (?,.)",How many,"people, led, agencies, German occupied Europe"
10110,"(where,ADV) (did,VERB) (the,DET) (war,NOUN) (take,VERB) (place,NOUN) (where,ADV) (one,NUM) (of,ADP) (the,DET) (commander,NOUN) (was,VERB) (zuo,PROPN,B-PER)  (zongtang,PROPN,E-PER)  (?,.)",Where,"war, take place, where, commander, Zuo Zongtang"
10111,"(where,ADV) (did,VERB) (the,DET) (war,NOUN) (take,VERB) (place,NOUN) (where,ADV) (one,NUM) (of,ADP) (the,DET) (commander,NOUN) (was,VERB) (zuo,PROPN,B-PER)  (zongtang,PROPN,E-PER)  (?,.)",Where did,"war ,place, commander ,Zuo Zongtang"
10112,"(where,ADV) (did,VERB) (the,DET) (plays,NOUN) (written,VERB) (by,ADP) (robert,PROPN,B-PER)  (schenkkan,PROPN,E-PER)  (take,VERB) (place,NOUN) (?,.)",Where,"plays, written, Robert Schenkkan, take place"
10113,"(where,ADV) (did,VERB) (the,DET) (plays,NOUN) (written,VERB) (by,ADP) (robert,PROPN,B-PER)  (schenkkan,PROPN,E-PER)  (take,VERB) (place,NOUN) (?,.)",Where,"plays, written, Robert Schenkkan"
10114,"(what,PRON) (are,VERB) (the,DET) (television,NOUN) (shows,NOUN) (whose,PRON) (company,NOUN) (is,VERB) (owned,VERB) (by,ADP) (viacom,PROPN,S-ORG)  (?,.)",What,"Television shows, company, owned, Viacom"
10115,"(what,PRON) (are,VERB) (the,DET) (television,NOUN) (shows,NOUN) (whose,PRON) (company,NOUN) (is,VERB) (owned,VERB) (by,ADP) (viacom,PROPN,S-ORG)  (?,.)",what,"television shows, company, owned, viacom"
10116,"(under,ADP) (which,PRON) (president,NOUN) (did,VERB) (the,DET) (predecessor,NOUN) (of,ADP) (simon,PROPN,B-PER)  (ferro,PROPN,E-PER)  (work,VERB) (?,.)",WHICH,"PRESIDENT, PREDECESSOR, SIMON FERRO, WORK"
10117,"(under,ADP) (which,PRON) (president,NOUN) (did,VERB) (the,DET) (predecessor,NOUN) (of,ADP) (simon,PROPN,B-PER)  (ferro,PROPN,E-PER)  (work,VERB) (?,.)",WHICH,"PRESIDENT, PREDECESSOR, SIMON FERRO, WORK"
10118,"(what,PRON) (novels,NOUN) (are,VERB) (belong,VERB) (to,ADP) (the,DET) (genre,NOUN) (of,ADP) (utopian,ADJ,S-MISC)  (and,CCONJ) (dystopian,ADJ) (fiction,NOUN) (?,.)",What,"novels, belong, genre, Utopian, dystopian fiction"
10119,"(what,PRON) (novels,NOUN) (are,VERB) (belong,VERB) (to,ADP) (the,DET) (genre,NOUN) (of,ADP) (utopian,ADJ,S-MISC)  (and,CCONJ) (dystopian,ADJ) (fiction,NOUN) (?,.)",What,"novels, belong, genre, utopian, dystopian, fiction"
10120,"(how,ADV) (many,ADJ) (people,NOUN) (used,VERB) (to,PART) (play,VERB) (in,ADP) (the,DET) (youthclub,NOUN) (of,ADP) (fc,PROPN,B-ORG)  (barcelona,PROPN,E-ORG)  (?,.)",How,"people, play, youthclub"
10121,"(how,ADV) (many,ADJ) (people,NOUN) (used,VERB) (to,PART) (play,VERB) (in,ADP) (the,DET) (youthclub,NOUN) (of,ADP) (fc,PROPN,B-ORG)  (barcelona,PROPN,E-ORG)  (?,.)",HOW MANY,"PEOPL,PLAY,YOUTHCLUB,,FCBARCELONA"
10122,"(what,PRON) (are,VERB) (the,DET) (movies,NOUN) (written,VERB) (by,ADP) (nick,PROPN,B-PER)  (castle,PROPN,E-PER)  (?,.)",What,"movies , written , by , Nick Castle"
10123,"(what,PRON) (are,VERB) (the,DET) (movies,NOUN) (written,VERB) (by,ADP) (nick,PROPN,B-PER)  (castle,PROPN,E-PER)  (?,.)",What,"movies, written, Nick Castle"
10124,"(who,PRON) (appointed,VERB) (both,CCONJ) (john,PROPN,B-PER)  (drayton,PROPN,E-PER)  (and,CCONJ) (william,PROPN,B-PER)  (clark,PROPN,E-PER)  (to,ADP) (their,PRON) (respective,ADJ) (offices,NOUN) (?,.)",Who,"appointed, both, John Drayton, William Clark, respective, offices"
10125,"(who,PRON) (appointed,VERB) (both,CCONJ) (john,PROPN,B-PER)  (drayton,PROPN,E-PER)  (and,CCONJ) (william,PROPN,B-PER)  (clark,PROPN,E-PER)  (to,ADP) (their,PRON) (respective,ADJ) (offices,NOUN) (?,.)",WHO,"APPOINTED,JOHN TRAYTON,RESPECTIVE OFFICES"
10126,"(quebec,PROPN,S-LOC)  (born,VERB) (ice,NOUN) (hockey,NOUN) (players,NOUN) (have,VERB) (stopped,VERB) (playing,VERB) (for,ADP) (which,PRON) (teams,NOUN) (?,.)",Which,"teams, Quebec, born, ice hockey players, stopped"
10127,"(quebec,PROPN,S-LOC)  (born,VERB) (ice,NOUN) (hockey,NOUN) (players,NOUN) (have,VERB) (stopped,VERB) (playing,VERB) (for,ADP) (which,PRON) (teams,NOUN) (?,.)",WHICH,"QUEBEC,ICE HOCKEY PLAYERS,STOPPED,TEAMS."
10128,"(on,ADP) (which,PRON) (river,NOUN) (are,VERB) (there,PRON) (things,NOUN) (belonging,VERB) (to,ADP) (zambezi,X,S-LOC)  (river,NOUN) (authority,NOUN) (?,.)",which,"river , belonging , zambezi river authority"
10129,"(on,ADP) (which,PRON) (river,NOUN) (are,VERB) (there,PRON) (things,NOUN) (belonging,VERB) (to,ADP) (zambezi,X,S-LOC)  (river,NOUN) (authority,NOUN) (?,.)",which,"river, belonging, zambezi, river authority"
10130,"(who,PRON) (is,VERB) (the,DET) (chancellor,NOUN) (of,ADP) (falmouth,PROPN,B-ORG)  (university,PROPN,E-ORG)  (?,.)",Who,"chancellor , Falmouth , University"
10131,"(who,PRON) (is,VERB) (the,DET) (chancellor,NOUN) (of,ADP) (falmouth,PROPN,B-ORG)  (university,PROPN,E-ORG)  (?,.)",Who,"chancellor, Falmouth University"
10132,"(which,PRON) (operator,NOUN) (of,ADP) (new,PROPN,B-ORG)  (sanno,PROPN,I-ORG)  (hotel,PROPN,E-ORG)  (is,VERB) (also,ADV) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (the,DET) (oahu,PROPN,B-ORG)  (railway,PROPN,I-ORG)  (and,CCONJ,I-ORG)  (land,PROPN,I-ORG)  (company,PROPN,E-ORG)  (?,.)",Which,"operator , New , Sanno Hotel , governing, body, Oahu , Railway ,Land , Company"
10133,"(which,PRON) (operator,NOUN) (of,ADP) (new,PROPN,B-ORG)  (sanno,PROPN,I-ORG)  (hotel,PROPN,E-ORG)  (is,VERB) (also,ADV) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (the,DET) (oahu,PROPN,B-ORG)  (railway,PROPN,I-ORG)  (and,CCONJ,I-ORG)  (land,PROPN,I-ORG)  (company,PROPN,E-ORG)  (?,.)",Which,"operator, New Sanno Hotel, Governing body, Oahu Railway and Land Company"
10134,"(which,PRON) (predecessor,NOUN) (of,ADP) (alexander,PROPN,B-PER)  (downer,PROPN,E-PER)  (was,VERB) (deputy,NOUN) (to,ADP) (neil,PROPN,B-PER)  (brown,PROPN,E-PER)  (?,.)",Which,"predecessor, Alexander Downer, deputy, Neil Brown"
10135,"(which,PRON) (predecessor,NOUN) (of,ADP) (alexander,PROPN,B-PER)  (downer,PROPN,E-PER)  (was,VERB) (deputy,NOUN) (to,ADP) (neil,PROPN,B-PER)  (brown,PROPN,E-PER)  (?,.)",which,"predecessor, Alexander downer, deputy, neil brown"
10136,"(what,PRON) (kind,NOUN) (of,ADP) (things,NOUN) (play,VERB) (on,ADP) (wbig,PROPN) (fm,PROPN) (?,.)",What,"Things,Play,WBIG,FM"
10137,"(what,PRON) (kind,NOUN) (of,ADP) (things,NOUN) (play,VERB) (on,ADP) (wbig,PROPN) (fm,PROPN) (?,.)",what,"kind ,things ,play ,WBIG ,FM"
10138,"(what,PRON) (musicians,NOUN) (are,VERB) (signed,VERB) (up,ADP) (with,ADP) (colpix,NOUN) (records,NOUN) (?,.)",What,"musicians, signed up, colpix, records"
10139,"(what,PRON) (musicians,NOUN) (are,VERB) (signed,VERB) (up,ADP) (with,ADP) (colpix,NOUN) (records,NOUN) (?,.)",What,"musicians , sign,colpix records"
10140,"(is,VERB) (egyptian,ADJ,B-MISC)  (arabic,PROPN,E-MISC)  (belong,VERB) (to,ADP) (the,DET) (central,PROPN,B-MISC)  (semitic,PROPN,I-MISC)  (languages,PROPN,E-MISC)  (family,NOUN) (?,.)",is,"Egyptian, Arabic, belong, Central, Semitic, Languages, family"
10141,"(is,VERB) (egyptian,ADJ,B-MISC)  (arabic,PROPN,E-MISC)  (belong,VERB) (to,ADP) (the,DET) (central,PROPN,B-MISC)  (semitic,PROPN,I-MISC)  (languages,PROPN,E-MISC)  (family,NOUN) (?,.)",Yes/No,"Egyptian Arabic, belong, Central, Semitic Languages family"
10142,"(who,PRON) (is,VERB) (the,DET) (person,NOUN) (that,PRON) (first,ADV) (ascented,VERB) (the,DET) (cathedral,PROPN,B-LOC)  (peak,PROPN,E-LOC)  (and,CCONJ) (mount,PROPN,B-LOC)  (hoffmann,PROPN,E-LOC)  (?,.)",Who,"person, first, ascented, Cathedral Peak, Mount Hoffman"
10143,"(who,PRON) (is,VERB) (the,DET) (person,NOUN) (that,PRON) (first,ADV) (ascented,VERB) (the,DET) (cathedral,PROPN,B-LOC)  (peak,PROPN,E-LOC)  (and,CCONJ) (mount,PROPN,B-LOC)  (hoffmann,PROPN,E-LOC)  (?,.)",Who,"person, first, ascented, Cathedral Peak, Mount Hoffmann"
10144,"(which,PRON) (are,VERB) (the,DET) (predecessor,NOUN) (of,ADP) (chevrolet,PROPN,B-MISC)  (caprice,PROPN,E-MISC)  (?,.)",WHICH,"PREDECESSOR, CHEVROLET CAPRICE"
10145,"(which,PRON) (are,VERB) (the,DET) (predecessor,NOUN) (of,ADP) (chevrolet,PROPN,B-MISC)  (caprice,PROPN,E-MISC)  (?,.)",Which,"predecessor, Chevrolet Caprice"
10146,"(who,PRON) (wrote,VERB) (the,DET) (album,NOUN) (coming,VERB) (right,ADV) (before,ADP) (dead,PROPN) (man's,PROPN) (chest's,PROPN) (ost,PROPN) (?,.)",Who,"wrote , album , coming , right , before , Dead , Man's Chest's, OST"
10147,"(who,PRON) (wrote,VERB) (the,DET) (album,NOUN) (coming,VERB) (right,ADV) (before,ADP) (dead,PROPN) (man's,PROPN) (chest's,PROPN) (ost,PROPN) (?,.)",Who,"wrote, album, coming, right,  Dead Man's Chest's OST"
10148,"(who,PRON) (has,VERB) (fought,VERB) (in,ADP) (wars,NOUN) (under,ADP) (commander,NOUN) (arthur,PROPN,B-PER)  (st,PROPN,I-PER)  (clair,PROPN,E-PER)  (?,.)",Who,"fought, wars, under, commander Arthur St Clair"
10149,"(who,PRON) (has,VERB) (fought,VERB) (in,ADP) (wars,NOUN) (under,ADP) (commander,NOUN) (arthur,PROPN,B-PER)  (st,PROPN,I-PER)  (clair,PROPN,E-PER)  (?,.)",Who,"fought, wars, under, commander , Arthur St Clair"
10150,"(what,PRON) (currencies,NOUN) (are,VERB) (used,VERB) (in,ADP) (the,DET) (country,NOUN) (whose,PRON) (capital,NOUN) (is,VERB) (podgorica,PROPN,S-LOC)  (?,.)","What ,whose","currencies ,used ,capital ,Podgorica"
10151,"(what,PRON) (currencies,NOUN) (are,VERB) (used,VERB) (in,ADP) (the,DET) (country,NOUN) (whose,PRON) (capital,NOUN) (is,VERB) (podgorica,PROPN,S-LOC)  (?,.)",What,"currencies , used , country , whose , capital , Podgorica"
10152,"(what,PRON) (is,VERB) (the,DET) (series,NOUN) (of,ADP) (the,DET) (book,NOUN) (which,PRON) (is,VERB) (a,DET) (subsequent,ADJ) (work,NOUN) (of,ADP) (blade,PROPN,B-MISC)  (runner,PROPN,E-MISC)  (2:,SYM) (the,DET,B-MISC)  (edge,PROPN,I-MISC)  (of,ADP) (human,PROPN,E-MISC)  (?,.)",What,"series,book,subsequent,work,Blade,Runner,Edge,Human"
10153,"(what,PRON) (is,VERB) (the,DET) (series,NOUN) (of,ADP) (the,DET) (book,NOUN) (which,PRON) (is,VERB) (a,DET) (subsequent,ADJ) (work,NOUN) (of,ADP) (blade,PROPN,B-MISC)  (runner,PROPN,E-MISC)  (2:,SYM) (the,DET,B-MISC)  (edge,PROPN,I-MISC)  (of,ADP) (human,PROPN,E-MISC)  (?,.)",what,"series, book, subsequent, Blade Runner 2: The Edge of Human"
10154,"(list,VERB) (the,DET) (places,NOUN) (where,ADV) (the,DET) (relatives,NOUN) (of,ADP) (mark,PROPN,B-PER)  (donaldson,PROPN,E-PER)  (died,VERB) (?,.)",List,"places , relatives , Mark Donaldson, died"
10155,"(list,VERB) (the,DET) (places,NOUN) (where,ADV) (the,DET) (relatives,NOUN) (of,ADP) (mark,PROPN,B-PER)  (donaldson,PROPN,E-PER)  (died,VERB) (?,.)",List,"places ,relatives , Mark Donaldson died"
10156,"(how,ADV) (many,ADJ) (other,ADJ) (home,NOUN) (stadium,NOUN) (are,VERB) (there,ADV) (of,ADP) (the,DET) (soccer,NOUN) (club,NOUN) (whose,PRON) (home,NOUN) (stadium,NOUN) (is,VERB) (luzhniki,PROPN,B-LOC)  (stadium,PROPN,E-LOC)  (?,.)",How many,"home , stadium , soccer , club , home , stadium , Luzhniki Stadium"
10157,"(how,ADV) (many,ADJ) (other,ADJ) (home,NOUN) (stadium,NOUN) (are,VERB) (there,ADV) (of,ADP) (the,DET) (soccer,NOUN) (club,NOUN) (whose,PRON) (home,NOUN) (stadium,NOUN) (is,VERB) (luzhniki,PROPN,B-LOC)  (stadium,PROPN,E-LOC)  (?,.)",How many,"home stadium, soccer club, home stadium, Luzhniki Stadium"
10158,"(for,ADP) (how,ADV) (many,ADJ) (cities's,NOUN) (teams,NOUN) (did,VERB) (david,PROPN,B-PER)  (bowens,PROPN,E-PER)  (play,VERB) (?,.)",how many,"cities's , teams , David Bowens, play"
10159,"(for,ADP) (how,ADV) (many,ADJ) (cities's,NOUN) (teams,NOUN) (did,VERB) (david,PROPN,B-PER)  (bowens,PROPN,E-PER)  (play,VERB) (?,.)",how many,"cities's, teams, david bowens, play"
10160,"(where,ADV) (was,VERB) (william,PROPN,B-PER)  (anthony,PROPN,E-PER)  (trained,VERB) (?,.)",Where,"William Anthony, trained"
10161,"(where,ADV) (was,VERB) (william,PROPN,B-PER)  (anthony,PROPN,E-PER)  (trained,VERB) (?,.)",WHERE,"WILLIAM ANTHONY, TRAINED"
10162,"(what,PRON) (famous,ADJ) (politician,NOUN) (died,VERB) (in,ADP) (the,DET) (petersen,PROPN,B-LOC)  (house,PROPN,E-LOC)  (?,.)",What,"famous, politician, died, Petersen House"
10163,"(what,PRON) (famous,ADJ) (politician,NOUN) (died,VERB) (in,ADP) (the,DET) (petersen,PROPN,B-LOC)  (house,PROPN,E-LOC)  (?,.)",what,"famous, politician, died, Petersen House"
10164,"(name,VERB) (some,DET) (basketball,NOUN) (players,NOUN) (who,PRON) (have,VERB) (played,VERB) (for,ADP) (chicago,NOUN,S-LOC)  (bulls,NOUN) (?,.)",Name,"basketball , players , played , chicago bulls"
10165,"(name,VERB) (some,DET) (basketball,NOUN) (players,NOUN) (who,PRON) (have,VERB) (played,VERB) (for,ADP) (chicago,NOUN,S-LOC)  (bulls,NOUN) (?,.)",name,"basketball players, played, chicago bulls"
10166,"(is,VERB) (anne,PROPN,B-PER)  (hidalgo,PROPN,E-PER)  (the,DET) (mayor,NOUN) (of,ADP) (paris,PROPN,S-LOC)  (?,.)",Is,"Anne Hidalgo,  mayor of Paris"
10167,"(is,VERB) (anne,PROPN,B-PER)  (hidalgo,PROPN,E-PER)  (the,DET) (mayor,NOUN) (of,ADP) (paris,PROPN,S-LOC)  (?,.)",Is,"Anne Hidalgo, mayor of Paris"
10168,"(which,PRON) (composer,NOUN) (of,ADP) (motorpsycho,PROPN,B-ORG)  (nitemare,PROPN,E-ORG)  (has,VERB) (also,ADV) (composed,VERB) (the,DET) (time,NOUN) (are,VERB) (a-changing,ADJ) (?,.)",Which,"composer, Motorsycho Nitemare, composed, The time are A-Changing"
10169,"(which,PRON) (composer,NOUN) (of,ADP) (motorpsycho,PROPN,B-ORG)  (nitemare,PROPN,E-ORG)  (has,VERB) (also,ADV) (composed,VERB) (the,DET) (time,NOUN) (are,VERB) (a-changing,ADJ) (?,.)",Which,"composer ,Motorpsycho Nitemare ,has ,composed , time are A-Changing"
10170,"(which,PRON) (owner,NOUN) (of,ADP) (the,DET) (national,ADJ) (herald,PROPN,B-ORG)  (india,NOUN,E-ORG)  (is,VERB) (the,DET) (leader,NOUN) (of,ADP) (kumta,PROPN,S-LOC)  (?,.)",Which,"Kumta, national herald india"
10171,"(which,PRON) (owner,NOUN) (of,ADP) (the,DET) (national,ADJ) (herald,PROPN,B-ORG)  (india,NOUN,E-ORG)  (is,VERB) (the,DET) (leader,NOUN) (of,ADP) (kumta,PROPN,S-LOC)  (?,.)",which,"owner, national Herald india, leader, kumta"
10172,"(what,PRON) (river,NOUN) (is,VERB) (it,PRON) (whose,PRON) (source,NOUN) (is,VERB) (dowra,PROPN,S-PER)  (?,.)","What ,whose","river ,source ,Dowra"
10173,"(what,PRON) (river,NOUN) (is,VERB) (it,PRON) (whose,PRON) (source,NOUN) (is,VERB) (dowra,PROPN,S-PER)  (?,.)",what,"river,whose,source,Dowra"
10174,"(in,ADP) (which,PRON) (countries,NOUN) (have,VERB) (models,NOUN) (hanged,VERB) (themselves,PRON) (?,.)",Which,"countries,models,hanged,themselves"
10175,"(in,ADP) (which,PRON) (countries,NOUN) (have,VERB) (models,NOUN) (hanged,VERB) (themselves,PRON) (?,.)",WHICH,"MODELS , HANGED , THEMSELVES"
10176,"(what,PRON) (is,VERB) (the,DET) (citizenship,NOUN) (of,ADP) (saima,PROPN,B-PER)  (chowdhury,PROPN,E-PER)  (?,.)",What is,"citizenship, Saima Chowdhury"
10177,"(what,PRON) (is,VERB) (the,DET) (citizenship,NOUN) (of,ADP) (saima,PROPN,B-PER)  (chowdhury,PROPN,E-PER)  (?,.)",What,"citizenship, Saima Chowdhury"
10178,"(what,PRON) (is,VERB) (the,DET) (religion,NOUN) (of,ADP) (the,DET) (president,NOUN) (who,PRON) (won,VERB) (the,DET) (mongolian,ADJ,S-MISC)  (legislative,ADJ) (election,,NOUN) (2004,NUM) (?,.)","What,who","religion,president,Mongolian legislative election"
10179,"(what,PRON) (is,VERB) (the,DET) (religion,NOUN) (of,ADP) (the,DET) (president,NOUN) (who,PRON) (won,VERB) (the,DET) (mongolian,ADJ,S-MISC)  (legislative,ADJ) (election,,NOUN) (2004,NUM) (?,.)",What,"religion, president, Mongolian legislative election"
10180,"(was,VERB) (francisco,PROPN,B-PER)  (pizarro,PROPN,E-PER)  (of,ADP) (the,DET) (monarch,NOUN) (of,ADP) (charles,PROPN,S-PER)  (5,,NUM) (of,ADP) (the,DET) (roman,ADJ) (empire,NOUN) (?,.)",Was,"Francisco Pizarro,monarch,Charles 5,Roman empire."
10181,"(was,VERB) (francisco,PROPN,B-PER)  (pizarro,PROPN,E-PER)  (of,ADP) (the,DET) (monarch,NOUN) (of,ADP) (charles,PROPN,S-PER)  (5,,NUM) (of,ADP) (the,DET) (roman,ADJ) (empire,NOUN) (?,.)",Was,"Francisco Pizarro, monarch, Charles 5, roman empire"
10182,"(what,PRON) (are,VERB) (the,DET) (musical,ADJ) (performances,NOUN) (whose,PRON) (label,NOUN) (is,VERB) (celluloid,PROPN,B-MISC)  (records,PROPN,E-MISC)  (?,.)",What,"musical performances ,label , Celluloid Records"
10183,"(what,PRON) (are,VERB) (the,DET) (musical,ADJ) (performances,NOUN) (whose,PRON) (label,NOUN) (is,VERB) (celluloid,PROPN,B-MISC)  (records,PROPN,E-MISC)  (?,.)",What,"musical, performances, label, Celluloid Records"
10184,"(is,VERB) (the,DET) (vadodara,PROPN,S-LOC)  (railway,NOUN) (junction,NOUN) (onwed,VERB) (by,ADP) (indian,PROPN,B-ORG)  (railway,PROPN,I-ORG)  (ministry,PROPN,E-ORG)  (?,.)",is,"Vadodara railway junction,Indian Railway Ministry, owned"
10185,"(is,VERB) (the,DET) (vadodara,PROPN,S-LOC)  (railway,NOUN) (junction,NOUN) (onwed,VERB) (by,ADP) (indian,PROPN,B-ORG)  (railway,PROPN,I-ORG)  (ministry,PROPN,E-ORG)  (?,.)",IS,"VADODARA, RAILWAY JUNCTION, INDIAN RAILWAY MINISTRY"
10186,"(what,PRON) (is,VERB) (the,DET) (largest,ADJ) (city,NOUN) (of,ADP) (pulau,PROPN,B-LOC)  (ubin,PROPN,E-LOC)  (?,.)",What,"largest , city , Pulau Ubin"
10187,"(what,PRON) (is,VERB) (the,DET) (largest,ADJ) (city,NOUN) (of,ADP) (pulau,PROPN,B-LOC)  (ubin,PROPN,E-LOC)  (?,.)",What,"largest city , Pulau Ubin"
10188,"(what,PRON) (is,VERB) (the,DET) (craft,NOUN) (of,ADP) (the,DET) (ralph,PROPN,B-MISC)  (flanders,PROPN,E-MISC)  (which,PRON) (is,VERB) (also,ADV) (the,DET) (profession,NOUN) (of,ADP) (claiborne,PROPN,B-PER)  (pell,PROPN,E-PER)  (?,.)",What,"craft , Ralph Flanders , which , profession , Claiborne Pell"
10189,"(what,PRON) (is,VERB) (the,DET) (craft,NOUN) (of,ADP) (the,DET) (ralph,PROPN,B-MISC)  (flanders,PROPN,E-MISC)  (which,PRON) (is,VERB) (also,ADV) (the,DET) (profession,NOUN) (of,ADP) (claiborne,PROPN,B-PER)  (pell,PROPN,E-PER)  (?,.)",What,"craft, Ralph Flanders, profession, Claiborne Pell"
10190,"(give,VERB) (me,PRON) (everything,NOUN) (owned,VERB) (by,ADP) (networks,NOUN) (which,PRON) (is,VERB) (lead,VERB) (by,ADP) (steve,PROPN,B-PER)  (burke,PROPN,E-PER)  (?,.)",List,"everything, owned, networks, led, Steve Burke"
10191,"(give,VERB) (me,PRON) (everything,NOUN) (owned,VERB) (by,ADP) (networks,NOUN) (which,PRON) (is,VERB) (lead,VERB) (by,ADP) (steve,PROPN,B-PER)  (burke,PROPN,E-PER)  (?,.)",Give,"everything, owned, networks, which, lead, Steve Burke"
10192,"(what,PRON) (is,VERB) (the,DET) (origin,NOUN) (of,ADP) (the,DET) (musical,ADJ) (artist,NOUN) (of,ADP) (a,DET,B-MISC)  (todo,PROPN,I-MISC)  (romantic,PROPN,I-MISC)  (style,PROPN,E-MISC)  (?,.)",What,"origin, musical artist, Todo Romantic Style"
10193,"(what,PRON) (is,VERB) (the,DET) (origin,NOUN) (of,ADP) (the,DET) (musical,ADJ) (artist,NOUN) (of,ADP) (a,DET,B-MISC)  (todo,PROPN,I-MISC)  (romantic,PROPN,I-MISC)  (style,PROPN,E-MISC)  (?,.)",What,"origin, musical artist, Todo Romantic Style"
10194,"(what,PRON) (is,VERB) (the,DET) (municipality,NOUN) (of,ADP) (homestead,PROPN,B-LOC)  (grays,PROPN,I-LOC)  (bridge,PROPN,E-LOC)  (?,.)",WHAT,"MUNICIPALITY, HOMESTEAD GRAYS BRIDGE"
10195,"(what,PRON) (is,VERB) (the,DET) (municipality,NOUN) (of,ADP) (homestead,PROPN,B-LOC)  (grays,PROPN,I-LOC)  (bridge,PROPN,E-LOC)  (?,.)",What,"municipality , Homestead , Grays , Bridge"
10196,"(what,PRON) (city,NOUN) (gave,VERB) (birth,NOUN) (to,ADP) (mishal,PROPN,B-PER)  (raheja,PROPN,E-PER)  (and,CCONJ) (also,ADV) (houses,VERB) (new,PROPN,B-LOC)  (india,PROPN,E-LOC)  (assurance,PROPN) (?,.)",What,"city, birth, Mishal Raheja, houses, New India Assurance"
10197,"(what,PRON) (city,NOUN) (gave,VERB) (birth,NOUN) (to,ADP) (mishal,PROPN,B-PER)  (raheja,PROPN,E-PER)  (and,CCONJ) (also,ADV) (houses,VERB) (new,PROPN,B-LOC)  (india,PROPN,E-LOC)  (assurance,PROPN) (?,.)",what,"city gave, birth, moshal reheja, houses, new india, assurance"
10198,"(how,ADV) (many,ADJ) (people,NOUN) (have,VERB) (fought,VERB) (wars,NOUN) (where,ADV) (arthur,PROPN,B-PER)  (st.,PROPN,I-PER)  (clair,PROPN,E-PER)  (was,VERB) (a,DET) (commander,NOUN) (?,.)",How many,"people, fought, wars, Arthur St. Clair, commander"
10199,"(how,ADV) (many,ADJ) (people,NOUN) (have,VERB) (fought,VERB) (wars,NOUN) (where,ADV) (arthur,PROPN,B-PER)  (st.,PROPN,I-PER)  (clair,PROPN,E-PER)  (was,VERB) (a,DET) (commander,NOUN) (?,.)","HOW,WHERE","PEOPLE,ARTHUR,ST.CLAIR COMMANDER"
10200,"(what,PRON) (religion,NOUN) (do,VERB) (the,DET) (politicians,NOUN) (follow,,VERB) (who,PRON) (graduated,VERB) (from,ADP) (the,DET) (yokkohama,PROPN,B-ORG)  (nationaal,PROPN,I-ORG)  (university,PROPN,E-ORG)  (?,.)",what,"religion,politicians,follow, graduated,Yokkohama Nationaal University"
10201,"(what,PRON) (religion,NOUN) (do,VERB) (the,DET) (politicians,NOUN) (follow,,VERB) (who,PRON) (graduated,VERB) (from,ADP) (the,DET) (yokkohama,PROPN,B-ORG)  (nationaal,PROPN,I-ORG)  (university,PROPN,E-ORG)  (?,.)",What,"religion, politicians, follow, graduated, yokkohama national university"
10202,"(which,PRON) (tv,NOUN) (show,NOUN) (whose,PRON) (theme,NOUN) (is,VERB) (composed,VERB) (by,ADP) (someone,NOUN) (signed,VERB) (up,ADP) (with,ADP) (ato,PROPN,S-ORG)  (records,NOUN) (?,.)",which,"tv show, theme, composed, someone, signed, ATO records"
10203,"(which,PRON) (tv,NOUN) (show,NOUN) (whose,PRON) (theme,NOUN) (is,VERB) (composed,VERB) (by,ADP) (someone,NOUN) (signed,VERB) (up,ADP) (with,ADP) (ato,PROPN,S-ORG)  (records,NOUN) (?,.)","Which,","Theme, composed, signedup, ATO records?"
10204,"(horses,NOUN) (sired,VERB) (by,ADP) (karinga,PROPN,B-ORG)  (bay,PROPN,E-ORG)  (have,VERB) (participated,VERB) (in,ADP) (which,PRON) (races,NOUN) (?,.)",Which,"Horses, sired, Karinga Bay, participated, races"
